Subject Number,Subject,Review Board,Subject Area,Scientific Discipline
205-07,Medical Informatics and Medical Bioinformatics,"205
Medicine","22 
Medicine","2 
Life Sciences"
205-08,Pharmacy,"205
Medicine","22 
Medicine","2 
Life Sciences"
205-09,Pharmacology,"205
Medicine","22 
Medicine","2 
Life Sciences"
205-10,"Toxicology, Occupational Medicine, Clinical Chemistry","205
Medicine","22 
Medicine","2 
Life Sciences"
205-11,Anaesthesiology,"205
Medicine","22 
Medicine","2 
Life Sciences"
205-12,"Cardiology, Angiology","205
Medicine","22 
Medicine","2 
Life Sciences"
205-13,"Pneumology, Thoracic Surgery","205
Medicine","22 
Medicine","2 
Life Sciences"
205-14,"Hematology, Oncology","205
Medicine","22 
Medicine","2 
Life Sciences"
205-15,Gastroenterology,"205
Medicine","22 
Medicine","2 
Life Sciences"
205-16,Nephrology,"205
Medicine","22 
Medicine","2 
Life Sciences"
205-17,"Endocrinology, Diabetology, Metabolism","205
Medicine","22 
Medicine","2 
Life Sciences"
205-18,Rheumatology,"205
Medicine","22 
Medicine","2 
Life Sciences"
205-19,Dermatology,"205
Medicine","22 
Medicine","2 
Life Sciences"
205-20,Pediatric and Adolescent Medicine,"205
Medicine","22 
Medicine","2 
Life Sciences"
205-21,Gynaecology and Obstetrics,"205
Medicine","22 
Medicine","2 
Life Sciences"
205-22,Clinical Immunology and Allergology,"205
Medicine","22 
Medicine","2 
Life Sciences"
205-23,"Reproductive Medicine, Urology","205
Medicine","22 
Medicine","2 
Life Sciences"
205-24,Biogerontology and Geriatric Medicine,"205
Medicine","22 
Medicine","2 
Life Sciences"
205-25,General and Visceral Surgery,"205
Medicine","22 
Medicine","2 
Life Sciences"
205-26,Cardiac and Vascular Sugery,"205
Medicine","22 
Medicine","2 
Life Sciences"
205-27,"Orthopaedics, Traumatology, Reconstructive Surgery","205
Medicine","22 
Medicine","2 
Life Sciences"
205-28,"Dentistry, Oral Surgery","205
Medicine","22 
Medicine","2 
Life Sciences"
205-29,Otolaryngology,"205
Medicine","22 
Medicine","2 
Life Sciences"
205-30,"Radiology, Nuclear Medicine, Radiotherapy, Radiobiology","205
Medicine","22 
Medicine","2 
Life Sciences"
205-31,Clinical Infectiology and Tropical Medicine,"205
Medicine","22 
Medicine","2 
Life Sciences"
205-32,"Medical Physics, Biomedical Technology","205
Medicine","22 
Medicine","2 
Life Sciences"
205-33,Anatomy,"205
Medicine","22 
Medicine","2 
Life Sciences"
206-01,Developmental Neurobiology,"206
Neurosciences","22 
Medicine","2 
Life Sciences"
206-02,Molecular Biology and Physiology of Neurons and Glial Cells,"206
Neurosciences","22 
Medicine","2 
Life Sciences"
206-03,Experimental and Theoretical Network Neuroscience,"206
Neurosciences","22 
Medicine","2 
Life Sciences"
206-04,"Cognitive, Systems and Behavioural Neurobiology","206
Neurosciences","22 
Medicine","2 
Life Sciences"
206-05,Experimental Models for the Understanding of Nervous System Diseases,"206
Neurosciences","22 
Medicine","2 
Life Sciences"
206-06,Molecular and Cellular Neurology and Neuropathology,"206
Neurosciences","22 
Medicine","2 
Life Sciences"
206-07,Clinical Neurosciences; Neurosurgery und Neuroradiology,"206
Neurosciences","22 
Medicine","2 
Life Sciences"
206-08,Human Cognitive and Systems Neuroscience,"206
Neurosciences","22 
Medicine","2 
Life Sciences"
206-09,Biological Psychiatry,"206
Neurosciences","22 
Medicine","2 
Life Sciences"
206-10,"Clinical Psychiatry, Psychotherapy, Child and Adolescent Psychiatry","206
Neurosciences","22 
Medicine","2 
Life Sciences"
206-11,Ophthalmology,"206
Neurosciences","22 
Medicine","2 
Life Sciences"
207-01,Soil Sciences,"207
Agriculture, Forestry and Veterinary Medicine","23 
Agriculture, Forestry and Veterinary Medicine","2 
Life Sciences"
207-02,Plant Breeding and Plant Pathology,"207
Agriculture, Forestry and Veterinary Medicine","23 
Agriculture, Forestry and Veterinary Medicine","2 
Life Sciences"
